"age","income","gender","web_visits","purchased"
21,6055,"Male",7,0
30,7408,"Male",3,1
22,5448,"Male",21,1
68,7125,"Female",21,0
42,8727,"Male",3,0
69,7843,"Female",22,1
39,3546,"Female",20,1
42,7839,"Female",11,1
49,1718,"Female",30,0
63,1839,"Female",27,0
42,4226,"Male",1,1
40,6159,"Male",23,1
52,4805,"Female",25,1
57,1920,"Female",30,1
65,4871,"Male",14,0
47,4785,"Female",17,1
29,4552,"Female",14,1
48,5300,"Male",5,1
63,1074,"Female",17,1
47,5194,"Male",13,1
52,9360,"Male",27,0
31,5311,"Female",23,0
46,1812,"Male",5,1
49,6440,"Male",30,1
24,5155,"Male",28,1
20,2665,"Male",12,1
40,1113,"Male",21,1
32,2510,"Female",14,0
38,6882,"Male",24,0
54,1881,"Female",4,0
25,6427,"Male",0,1
68,3575,"Female",16,0
27,6122,"Male",9,1
67,4210,"Male",14,1
59,3440,"Female",20,0
61,2076,"Female",28,1
51,7065,"Female",1,0
27,5702,"Male",8,1
39,6907,"Female",25,0
29,8788,"Male",6,1
37,4912,"Male",16,1
63,8717,"Male",16,1
34,5167,"Female",10,0
63,3271,"Female",9,1
52,3814,"Female",4,0
57,2038,"Female",19,0
63,8797,"Female",22,1
68,2843,"Male",7,1
47,2748,"Female",5,1
32,3239,"Male",15,0
41,9133,"Female",25,1
66,7217,"Female",11,1
40,4063,"Female",22,0
60,1032,"Female",9,0
24,5356,"Male",28,0
46,6529,"Male",22,0
32,7893,"Male",13,1
40,3809,"Female",6,1
43,7717,"Female",7,0
55,1054,"Female",8,0
63,7035,"Male",23,1
49,6158,"Male",8,0
24,5548,"Female",24,1
44,2767,"Female",10,1
59,2865,"Female",0,0
22,1473,"Female",7,0
23,7148,"Male",3,0
33,5757,"Male",7,0
41,5482,"Female",29,0
49,9976,"Male",4,0
38,9704,"Female",21,0
28,1590,"Male",18,0
53,1868,"Female",28,1
61,1411,"Female",4,1
63,6967,"Female",3,1
36,6535,"Male",24,0
42,3090,"Female",16,0
56,1965,"Female",20,1
43,3978,"Female",19,0
26,7742,"Female",12,1
24,4305,"Female",15,1
51,3890,"Female",24,0
65,3770,"Female",16,1
30,8337,"Male",28,1
36,4958,"Female",7,1
69,9450,"Female",26,0
64,6226,"Female",26,0
56,2433,"Male",10,1
21,6398,"Male",4,1
18,7609,"Female",21,0
57,5618,"Female",29,0
47,7640,"Female",10,1
47,9505,"Male",27,0
69,7578,"Male",1,1
42,4219,"Male",19,0
33,4254,"Female",6,1
41,6984,"Male",7,0
28,8641,"Male",19,1
65,7386,"Male",23,0
37,5632,"Female",6,1
57,2088,"Female",1,0
20,1423,"Female",18,1
46,6977,"Male",11,0
53,2298,"Female",30,0
69,9836,"Male",23,1
61,4330,"Female",22,1
39,9771,"Male",6,1
66,8846,"Female",12,1
59,6001,"Female",4,1
37,1882,"Male",22,1
28,1971,"Male",10,0
25,8952,"Female",22,1
63,7004,"Male",8,0
38,7222,"Male",20,1
62,4126,"Female",23,1
19,9608,"Male",28,0
60,8928,"Female",18,0
30,5458,"Female",14,0
63,3403,"Female",2,0
23,4430,"Female",30,0
25,5558,"Male",29,1
61,5992,"Female",13,1
49,4041,"Male",24,0
53,3628,"Female",30,0
62,2541,"Female",4,1
31,8212,"Male",7,1
70,8681,"Female",6,1
33,7365,"Male",12,1
40,5649,"Male",13,0
50,5725,"Male",11,1
57,7641,"Female",18,0
57,2206,"Male",21,1
27,6434,"Male",1,0
42,8392,"Male",10,1
25,6799,"Female",29,0
35,7768,"Male",24,1
70,7276,"Male",1,0
26,7399,"Female",7,1
24,2516,"Female",22,0
24,3566,"Female",6,1
27,9436,"Male",17,0
41,9124,"Male",4,0
40,1817,"Male",6,0
43,9202,"Male",15,1
60,4145,"Male",27,0
50,9711,"Male",29,1
46,8852,"Male",26,1
68,1652,"Female",19,1
27,9948,"Male",1,1
70,9806,"Male",15,1
30,9344,"Female",15,0
60,8370,"Male",17,1
28,5349,"Female",16,1
42,6292,"Female",6,1
69,2898,"Female",21,1
43,2599,"Female",26,1
24,4533,"Male",26,1
42,6321,"Male",20,0
40,9365,"Female",23,1
43,4284,"Female",2,1
49,9040,"Female",20,0
37,1078,"Male",0,1
41,7933,"Male",9,1
26,5475,"Female",20,1
58,9855,"Male",19,0
54,9176,"Female",26,1
40,4996,"Male",14,0
31,8957,"Female",30,1
63,6280,"Male",10,1
23,2456,"Female",13,0
44,3920,"Female",10,0
18,8723,"Male",15,1
43,6255,"Male",13,1
59,7087,"Female",18,1
66,6602,"Female",25,0
34,4895,"Male",4,0
46,6857,"Female",5,0
43,4096,"Female",18,1
44,3393,"Male",22,0
38,9730,"Male",17,0
24,8140,"Female",13,0
70,3887,"Female",0,1
43,1127,"Male",13,0
58,5150,"Male",22,1
37,9159,"Female",26,0
23,6145,"Male",12,0
67,2208,"Female",9,1
47,2462,"Female",0,1
48,6755,"Female",16,1
46,7861,"Male",11,0
34,2303,"Male",21,1
54,7845,"Male",30,1
37,2785,"Female",6,0
52,6686,"Male",4,1
42,9914,"Male",29,1
63,9278,"Male",22,0
50,7293,"Male",27,1
19,8412,"Male",27,1
21,1339,"Male",26,0
27,5893,"Male",11,1
50,2037,"Male",3,0
22,6608,"Female",22,0
70,5299,"Female",13,0
42,3068,"Male",23,0
25,9099,"Male",19,0
42,9871,"Male",28,0
38,7247,"Male",12,1
62,3022,"Female",23,0
35,3368,"Female",12,1
59,6372,"Male",16,0
48,8022,"Female",10,1
23,5145,"Female",30,1
24,7264,"Male",23,1
58,2524,"Female",15,0
65,3914,"Female",8,1
34,6348,"Female",23,0
70,4205,"Female",25,1
62,9191,"Male",13,0
45,1340,"Male",2,1
70,3735,"Female",14,1
57,7655,"Female",19,0
70,6504,"Male",25,1
24,7876,"Female",13,1
37,6336,"Female",8,0
35,7575,"Female",12,0
46,9683,"Female",6,1
34,5057,"Male",24,1
50,5593,"Female",20,1
19,9063,"Female",26,0
66,4761,"Female",2,1
19,4895,"Female",14,0
30,8767,"Male",25,1
41,8146,"Female",29,1
66,1402,"Male",22,1
20,2214,"Male",22,1
35,5008,"Male",10,1
19,3932,"Male",27,1
54,6053,"Female",15,1
29,6245,"Male",0,0
30,9448,"Female",24,1
59,4428,"Male",10,1
23,9015,"Female",30,0
59,9293,"Female",20,0
59,4452,"Female",12,1
55,3349,"Female",6,0
65,7027,"Female",14,1
33,3018,"Female",4,1
52,7018,"Male",6,1
53,8972,"Female",22,0
44,6118,"Female",29,0
44,1514,"Female",6,0
52,8532,"Male",19,1
40,1419,"Female",7,1
20,3993,"Male",17,0
48,1581,"Male",17,0
65,3620,"Female",2,1
19,7492,"Female",6,0
64,4360,"Male",28,1
40,7646,"Male",19,1
20,2077,"Female",6,0
26,3989,"Male",19,1
56,2943,"Female",14,1
47,2824,"Male",27,0
48,6406,"Female",7,0
47,7217,"Female",6,1
26,4271,"Female",28,0
53,4674,"Male",6,1
51,7820,"Male",24,1
39,6754,"Female",7,0
61,8860,"Female",29,1
58,4573,"Female",8,0
45,5862,"Female",0,1
46,3477,"Male",29,0
60,6763,"Male",0,0
56,7472,"Male",17,0
62,4670,"Female",2,0
54,6346,"Female",20,1
60,7244,"Male",7,0
50,8079,"Male",1,1
36,7445,"Male",2,0
29,3954,"Male",11,0
51,6036,"Male",8,0
38,1699,"Female",11,1
34,2527,"Male",22,1
29,5810,"Female",2,0
47,5840,"Male",0,0
52,3680,"Female",22,1
47,7942,"Female",14,1
42,4599,"Male",5,0
67,6454,"Male",14,1
64,4872,"Female",22,0
20,8234,"Female",20,1
68,4233,"Female",14,0
35,9711,"Female",5,1
49,8406,"Male",8,1
34,4293,"Male",10,0
55,2737,"Female",13,0
59,8074,"Female",21,1
57,6848,"Female",15,0
59,2120,"Male",9,1
49,8373,"Female",16,1
43,2358,"Male",24,0
30,7104,"Female",8,1
37,8076,"Male",27,1
55,1922,"Male",27,1
37,7267,"Male",7,0
46,9632,"Male",14,1
37,2749,"Male",23,1
47,2813,"Female",28,1
58,7907,"Male",1,0
65,9644,"Male",28,0
25,8275,"Female",24,0
56,2505,"Male",6,0
27,1080,"Male",15,0
34,2404,"Male",7,0
35,6892,"Female",4,1
57,5969,"Male",11,1
68,1953,"Female",12,0
59,4371,"Female",26,0
28,2473,"Female",16,0
66,2107,"Male",6,0
61,9592,"Female",5,0
19,5868,"Female",13,1
36,7644,"Male",12,1
30,7138,"Female",22,0
30,2284,"Female",20,1
48,6524,"Male",28,0
47,4896,"Female",25,1
68,9461,"Female",11,1
39,8746,"Female",9,1
47,6104,"Male",10,0
27,7220,"Female",12,0
33,6741,"Male",3,0
22,5630,"Male",1,0
53,4508,"Male",22,0
67,8729,"Female",14,0
50,6941,"Male",13,1
33,3124,"Male",1,1
45,1232,"Female",26,0
66,6486,"Male",6,0
29,4607,"Male",24,0
70,7736,"Male",19,1
45,2366,"Female",12,1
19,1340,"Female",0,1
67,1850,"Male",4,1
29,5312,"Female",21,0
64,8639,"Male",9,1
68,3602,"Male",7,1
70,7757,"Male",4,0
23,9316,"Female",1,0
33,4712,"Female",17,0
32,7361,"Male",13,1
36,6148,"Female",3,0
20,5682,"Female",25,0
63,6674,"Male",12,1
50,8871,"Male",22,0
50,5242,"Female",8,1
65,3259,"Female",17,0
28,5371,"Male",14,1
53,2542,"Male",19,1
61,6504,"Male",23,0
62,6589,"Male",19,0
27,5360,"Male",1,1
59,4947,"Female",13,0
41,8254,"Female",30,1
45,5356,"Female",17,1
56,5116,"Male",28,1
35,7463,"Female",21,0
34,3439,"Female",25,0
37,1356,"Female",4,0
26,4462,"Female",7,1
70,6437,"Female",7,0
28,1010,"Female",1,0
61,7339,"Male",6,0
25,1706,"Male",24,0
67,2786,"Male",26,0
22,4449,"Male",1,0
46,5769,"Female",27,1
67,4783,"Female",3,1
23,3352,"Female",4,1
27,4244,"Female",6,1
43,3136,"Female",24,0
26,5528,"Female",10,1
28,3879,"Male",13,1
23,4747,"Male",13,0
49,7966,"Female",22,0
29,2969,"Male",28,0
36,2063,"Male",25,1
44,4697,"Male",23,1
49,8821,"Male",5,1
44,3709,"Female",20,0
47,9374,"Male",10,0
21,6085,"Male",20,0
41,3710,"Male",15,1
45,5537,"Male",26,1
20,2377,"Female",13,0
63,2140,"Female",20,0
57,9540,"Male",0,0
23,5042,"Female",11,1
53,8830,"Male",19,1
59,7277,"Male",2,1
65,7898,"Female",11,1
47,2748,"Male",2,0
65,8204,"Male",2,0
69,2823,"Female",25,0
27,1636,"Male",22,1
42,5409,"Male",26,0
55,2921,"Female",2,1
68,9022,"Male",18,1
53,7922,"Female",16,0
58,8794,"Male",21,0
42,5352,"Male",3,1
21,7984,"Male",26,0
32,8862,"Female",12,1
69,7900,"Female",0,0
39,4594,"Male",27,1
70,1000,"Female",25,1
66,1109,"Male",11,0
41,5171,"Male",30,0
56,3372,"Male",14,1
64,5005,"Male",26,1
54,8531,"Male",17,1
63,1857,"Female",27,0
64,5584,"Female",8,1
32,9502,"Female",9,0
33,6624,"Female",19,1
36,2135,"Male",28,1
25,7702,"Female",19,0
48,7715,"Male",27,0
54,4429,"Male",3,1
56,3263,"Male",4,0
69,6635,"Male",7,0
65,2710,"Female",19,0
33,7221,"Female",23,1
26,6879,"Male",22,1
28,2017,"Female",8,1
60,9876,"Male",26,0
68,9447,"Male",19,1
47,7805,"Male",22,1
27,8329,"Female",9,1
51,1519,"Male",23,0
55,3976,"Female",19,0
37,5750,"Female",30,1
63,6848,"Female",14,1
31,1569,"Male",0,1
23,8739,"Female",14,1
35,8577,"Male",19,0
19,5183,"Male",5,0
25,8922,"Female",7,0
28,2728,"Male",4,1
38,8157,"Male",7,0
24,3684,"Male",28,0
68,3691,"Female",9,0
40,4696,"Male",25,0
25,6059,"Male",24,1
27,3973,"Female",10,0
54,7804,"Female",1,0
34,4483,"Male",1,0
23,7444,"Male",14,1
57,7343,"Female",26,0
69,8729,"Female",19,0
23,9934,"Female",22,1
64,5138,"Male",13,1
45,8531,"Male",7,0
49,7698,"Male",14,1
66,1643,"Male",30,1
52,4933,"Male",16,0
45,3965,"Female",4,0
64,3607,"Male",4,1
37,5303,"Male",17,1
18,8219,"Female",22,1
22,5286,"Female",10,0
28,6305,"Female",7,0
64,8210,"Male",10,1
37,9162,"Female",1,1
19,4382,"Male",10,0
65,2036,"Female",3,1
68,4152,"Male",9,0
27,4309,"Female",7,0
68,5354,"Female",23,1
66,7128,"Female",26,1
24,6299,"Female",27,1
55,3392,"Female",13,1
61,8687,"Female",1,1
53,2174,"Female",20,1
70,4680,"Female",15,0
40,8823,"Male",25,1
68,2660,"Male",20,0
51,2704,"Male",25,1
41,8480,"Female",29,1
21,9221,"Female",3,1
46,9519,"Female",16,1
40,2278,"Male",15,0
28,3605,"Female",4,1
50,1189,"Male",6,0
68,6766,"Female",17,1
67,9477,"Female",18,0
65,3127,"Male",21,0
20,4739,"Male",0,1
50,5786,"Male",13,1
47,2868,"Male",3,0
51,1048,"Male",20,1
19,3919,"Female",26,1
57,2419,"Female",0,1
37,7544,"Male",18,0
31,3812,"Male",16,0
42,3116,"Female",1,1
62,9267,"Female",5,0
24,7423,"Male",15,1
57,4454,"Male",15,1
52,8191,"Male",12,0
48,5356,"Female",30,1
39,3116,"Female",10,0
33,1040,"Female",7,1
39,7358,"Female",14,0
46,6289,"Male",29,0
50,5746,"Male",0,0
61,2113,"Male",7,1
67,7896,"Female",9,0
70,9962,"Male",5,0
48,8279,"Female",13,1
63,6992,"Female",26,0
25,8874,"Male",17,1
41,2627,"Female",17,0
47,8272,"Female",4,1
40,4587,"Male",13,0
54,8072,"Female",29,1
49,1105,"Female",12,1
34,2118,"Male",11,1
43,2714,"Female",16,0
60,7400,"Male",27,0
40,4881,"Female",25,1
43,4281,"Female",13,1
53,5860,"Male",23,1
62,6671,"Male",22,0
25,1834,"Female",0,0
32,3544,"Female",11,1
53,5733,"Female",30,1
62,7332,"Female",20,0
20,2206,"Female",23,0
56,1049,"Female",12,1
50,3112,"Female",2,0
55,7156,"Female",28,1
62,8877,"Female",19,1
43,4980,"Male",10,1
45,7487,"Male",17,0
43,5593,"Male",3,1
34,3160,"Female",13,1
40,5274,"Female",22,0
70,6992,"Male",3,1
55,4819,"Male",24,0
27,2955,"Male",29,0
62,3991,"Male",20,0
55,8587,"Female",24,0
58,4993,"Male",0,0
25,9094,"Female",7,0
18,7181,"Male",4,0
33,5701,"Male",27,0
19,1089,"Female",30,0
57,7481,"Female",30,0
31,4479,"Female",19,1
29,8437,"Female",4,1
43,2013,"Female",21,0
25,7653,"Female",29,0
58,1330,"Female",10,1
25,9730,"Male",16,0
26,5436,"Male",22,1
69,3248,"Male",24,1
50,3578,"Female",7,0
20,3207,"Female",3,1
57,7605,"Female",0,1
19,7270,"Male",17,0
18,9758,"Male",30,0
26,8073,"Male",4,0
24,8120,"Female",30,0
30,1614,"Female",26,1
46,5885,"Male",11,0
37,5954,"Female",23,1
31,8856,"Female",8,0
33,7326,"Female",25,0
24,1698,"Male",15,0
53,2185,"Female",16,0
62,8884,"Female",4,0
29,8435,"Female",11,1
42,7940,"Female",5,0
44,8181,"Male",8,1
30,4480,"Female",9,1
37,2056,"Female",30,1
27,7295,"Male",6,0
47,8784,"Female",9,1
58,4239,"Female",30,0
29,4664,"Male",13,1
25,9125,"Female",0,1
24,5647,"Male",0,1
32,4213,"Male",22,0
36,8225,"Male",21,0
66,8846,"Male",10,1
60,9785,"Female",26,1
56,9308,"Female",5,1
68,2396,"Male",0,1
40,5132,"Female",1,0
52,6349,"Male",25,0
23,6151,"Male",13,1
24,7363,"Male",18,0
21,6187,"Male",7,1
27,8839,"Male",8,1
34,8445,"Female",29,1
65,4239,"Male",16,1
25,4019,"Female",17,1
70,8639,"Male",2,0
20,8489,"Female",24,0
61,5704,"Female",13,0
70,3991,"Female",5,1
63,3507,"Female",12,1
54,2841,"Female",30,0
31,9628,"Female",0,0
45,2755,"Female",29,0
23,7165,"Female",26,0
26,8415,"Male",5,1
50,9573,"Female",7,1
69,8164,"Male",6,1
63,3132,"Male",19,1
36,8812,"Male",13,0
54,7906,"Female",30,1
51,6865,"Female",23,0
18,6616,"Male",21,0
45,6898,"Male",17,1
69,1327,"Female",6,0
47,6340,"Female",18,0
21,9807,"Male",29,1
43,8813,"Female",29,0
28,7942,"Male",2,1
22,1497,"Male",25,0
53,5611,"Female",10,0
36,6098,"Male",19,0
52,2714,"Male",20,0
50,4129,"Female",1,1
56,6612,"Female",11,0
22,2004,"Female",2,0
40,7191,"Male",16,0
58,5215,"Male",0,0
42,8162,"Female",26,1
66,6850,"Male",23,0
38,9274,"Male",10,1
22,8418,"Female",16,1
29,7103,"Male",23,0
19,8203,"Female",3,1
35,9126,"Male",23,1
21,5060,"Female",15,1
59,8264,"Female",25,1
64,4595,"Female",22,1
40,2673,"Female",20,1
25,8530,"Male",11,1
18,2535,"Female",0,0
28,7950,"Female",15,0
54,9306,"Male",18,1
28,2115,"Female",16,0
32,8062,"Male",23,0
32,7942,"Female",4,0
59,5049,"Female",1,0
32,5497,"Male",28,1
32,9232,"Female",29,0
69,3625,"Female",25,1
61,1396,"Female",3,0
58,6177,"Female",18,0
42,8391,"Male",14,1
53,3462,"Female",21,0
20,7219,"Female",6,1
24,6914,"Male",0,0
21,4729,"Male",15,1
57,1529,"Female",28,0
70,6835,"Female",2,0
54,3995,"Female",12,0
41,5537,"Male",4,0
55,5173,"Male",5,0
21,6466,"Male",15,0
20,5609,"Female",20,0
28,1441,"Female",13,1
27,3670,"Female",21,0
46,7383,"Male",22,0
40,1532,"Male",21,1
22,6808,"Male",19,0
41,5150,"Male",23,0
49,4487,"Female",11,1
42,1166,"Male",22,1
28,8158,"Male",16,1
27,5392,"Female",28,0
32,1775,"Female",15,0
68,2561,"Female",30,0
48,5725,"Male",30,0
27,9556,"Male",2,1
62,5697,"Female",28,0
41,7797,"Female",20,1
52,9033,"Female",11,1
67,9437,"Female",11,0
27,5302,"Female",13,1
25,1932,"Female",11,1
61,1647,"Female",10,0
59,4715,"Male",24,1
49,4540,"Female",13,1
56,1582,"Female",26,0
24,4711,"Male",0,0
55,3128,"Male",24,1
34,4920,"Female",24,0
37,2088,"Male",2,0
50,7319,"Female",24,1
54,6658,"Male",27,0
27,6974,"Female",12,0
62,4520,"Female",10,1
27,2020,"Male",12,0
19,8991,"Male",10,0
32,2033,"Male",30,0
40,7921,"Female",15,0
64,1043,"Female",10,1
57,8304,"Male",15,1
52,1114,"Male",20,1
19,3783,"Female",0,0
23,6955,"Male",19,1
63,9545,"Female",23,0
64,8679,"Female",11,1
68,4846,"Female",4,1
26,1009,"Female",8,0
40,8037,"Male",28,0
42,8012,"Female",27,1
32,1403,"Female",9,1
39,3147,"Male",5,0
65,3510,"Female",5,1
25,8010,"Female",8,0
46,7748,"Female",6,1
58,5569,"Female",11,1
38,8923,"Male",27,1
65,5101,"Female",17,1
26,2320,"Female",13,1
51,8207,"Male",21,0
58,9129,"Male",6,1
60,9689,"Female",1,1
28,2017,"Male",13,1
21,8485,"Male",15,0
24,3390,"Female",19,1
67,2432,"Female",0,0
28,6569,"Male",29,0
50,9586,"Female",3,0
28,1530,"Female",29,1
55,8959,"Female",6,1
38,8388,"Male",16,1
27,1562,"Male",22,1
67,8977,"Male",21,0
20,7786,"Female",0,0
52,9620,"Male",0,1
51,5936,"Male",24,1
57,8554,"Female",14,1
45,1557,"Female",25,1
30,8813,"Male",20,0
25,1129,"Female",30,0
19,7910,"Female",14,1
23,3002,"Female",29,0
40,5433,"Male",27,1
34,4744,"Male",26,0
49,9653,"Male",26,0
31,2518,"Male",18,0
24,4419,"Male",3,0
30,9470,"Male",2,1
25,6640,"Male",4,1
55,8424,"Male",20,1
28,3243,"Female",24,0
59,6092,"Male",21,0
34,3050,"Male",16,1
24,4333,"Male",13,0
61,1973,"Male",1,1
36,8751,"Female",2,0
66,1201,"Male",2,1
57,6685,"Male",20,1
32,4154,"Male",10,1
63,2569,"Female",5,0
31,3351,"Female",13,1
43,7482,"Male",14,1
44,5733,"Male",0,0
34,2324,"Female",6,1
50,7855,"Female",24,0
67,1929,"Female",5,0
35,2108,"Male",24,0
37,4764,"Male",24,0
44,5095,"Male",20,1
59,3897,"Female",17,1
27,2094,"Male",17,1
70,3654,"Male",20,0
26,5494,"Male",15,0
48,6402,"Female",3,1
36,9608,"Male",14,0
67,3173,"Female",12,1
35,4868,"Male",29,0
61,8998,"Female",1,0
61,2977,"Male",6,1
45,2121,"Male",6,1
38,8497,"Male",16,1
46,9636,"Male",6,0
53,1300,"Female",10,1
37,7759,"Male",13,0
40,9119,"Female",21,1
59,7989,"Female",8,0
22,9788,"Male",10,1
19,1396,"Female",23,1
35,5418,"Male",8,0
29,7070,"Female",30,0
30,4467,"Male",9,1
60,5166,"Male",24,0
68,2536,"Female",25,1
55,2054,"Male",22,1
35,9864,"Male",17,0
27,8903,"Female",22,1
26,8075,"Female",3,0
52,7450,"Female",18,1
46,5379,"Female",16,1
39,6052,"Male",4,1
36,5283,"Male",6,1
25,5649,"Female",12,1
62,8442,"Female",4,0
50,8159,"Female",4,0
19,1733,"Female",19,1
60,8102,"Male",28,0
65,5509,"Male",25,0
22,8275,"Male",15,1
38,5348,"Female",12,0
48,6090,"Male",10,1
53,3418,"Male",1,0
44,4411,"Female",13,0
40,8508,"Male",6,1
20,7932,"Female",16,1
32,7848,"Male",9,0
59,5371,"Male",3,1
56,5336,"Female",22,1
24,1801,"Male",24,1
51,7149,"Female",3,0
48,4076,"Female",3,1
35,3241,"Male",3,1
35,7776,"Female",22,1
52,8907,"Female",5,1
57,5557,"Female",2,1
63,7144,"Female",29,1
26,3678,"Female",27,0
32,6648,"Male",25,1
34,8885,"Male",15,1
24,9057,"Male",29,1
47,2521,"Female",18,0
25,5674,"Male",12,0
18,5559,"Male",3,1
26,9927,"Female",21,1
52,7109,"Female",1,1
42,1197,"Female",20,0
19,9924,"Female",2,1
28,5300,"Male",14,1
21,1704,"Male",8,0
57,7321,"Female",2,0
37,6648,"Male",15,0
28,8958,"Male",0,0
35,8044,"Female",17,0
31,1917,"Female",20,1
20,3055,"Female",9,1
45,2371,"Male",2,0
20,9186,"Female",9,0
63,7720,"Male",19,0
45,2587,"Female",19,0
46,6378,"Female",21,0
56,1651,"Female",10,0
40,1894,"Female",7,1
32,8571,"Female",7,0
40,2968,"Male",15,1
41,2154,"Male",18,1
57,4500,"Male",18,0
50,3134,"Male",4,1
54,4086,"Female",26,0
46,6508,"Female",12,1
66,4952,"Female",5,0
23,4020,"Female",1,0
42,5857,"Female",26,1
59,6542,"Female",21,0
43,8217,"Male",26,1
41,8391,"Female",21,1
61,7759,"Male",13,1
49,8877,"Female",18,0
25,6077,"Male",18,0
33,2681,"Male",22,0
56,8964,"Female",30,0
49,8252,"Male",22,0
56,2439,"Male",12,1
18,8600,"Male",30,0
47,6880,"Female",21,0
42,1548,"Female",30,1
60,3880,"Female",5,1
20,4535,"Female",13,1
39,4656,"Male",25,1
34,6952,"Female",29,0
37,4621,"Male",26,0
52,5641,"Female",19,1
31,3789,"Male",16,0
54,7688,"Female",13,1
67,6268,"Male",8,1
41,4913,"Female",20,1
47,2898,"Female",21,0
25,4828,"Male",22,1
37,1193,"Male",14,0
27,4911,"Female",2,1
39,9510,"Male",24,1
67,9557,"Female",25,1
34,3340,"Female",4,1
26,7068,"Male",21,1
52,9994,"Male",3,1
54,7225,"Male",11,0
38,6479,"Female",23,0
33,1680,"Male",27,1
69,2635,"Male",30,1
43,9200,"Male",1,0
52,8452,"Female",29,1
52,9775,"Female",6,0
43,2820,"Female",20,0
30,7844,"Male",13,0
53,6123,"Male",13,1
64,7909,"Male",30,0
42,2602,"Male",11,1
45,5101,"Female",25,0
68,5164,"Female",8,1
46,8755,"Female",25,0
30,5621,"Female",27,1
61,7751,"Female",6,0
38,1602,"Male",2,1
42,7581,"Female",29,1
46,6461,"Male",6,0
37,4567,"Female",16,0
46,2490,"Male",27,1
30,5778,"Male",15,1
30,1705,"Female",26,0
52,7175,"Male",15,0
69,1826,"Male",25,0
22,7213,"Female",28,1
30,9070,"Male",18,0
40,6268,"Male",7,0
45,3866,"Male",8,0
61,1236,"Female",8,0
25,2237,"Female",25,0
55,1745,"Male",1,0
41,8518,"Male",4,1
33,2272,"Female",26,0
28,9615,"Male",9,1
40,2739,"Female",1,1
47,4685,"Male",25,1
49,4468,"Female",7,1
44,6410,"Male",9,0
61,8915,"Female",7,0
65,6070,"Male",17,0
32,1020,"Female",3,1
18,2221,"Female",24,1
61,5892,"Male",9,0
27,2682,"Male",26,0
39,6220,"Female",9,1
59,6597,"Male",0,0
53,5995,"Male",18,1
58,4420,"Female",6,1
42,6213,"Male",17,1
47,8689,"Male",24,0
69,5797,"Male",15,1
54,5748,"Male",5,0
44,9750,"Male",9,0
26,6743,"Female",20,1
36,1402,"Male",5,1
52,4385,"Male",6,1
51,4883,"Male",18,0
40,4902,"Female",8,1
29,3259,"Male",13,1
32,4136,"Male",22,1
66,2512,"Male",20,0
52,5307,"Male",27,1
46,4774,"Female",6,1
24,4404,"Male",26,1
46,4665,"Female",26,0
62,4349,"Female",28,1
63,4742,"Female",19,0
51,9968,"Male",10,1
26,2480,"Female",15,1
64,1946,"Female",4,0
70,2215,"Female",8,0
18,2837,"Male",30,1
27,8774,"Female",27,0
58,3471,"Male",28,0
58,3928,"Female",10,1
56,5019,"Female",17,0
67,2531,"Male",27,0
61,2192,"Male",3,0
40,6877,"Male",27,1
23,4462,"Female",5,1
49,7135,"Female",10,1
56,2623,"Male",11,0
